session_id,block_num,binocular_raw_median,bbox_scale_px,outer_eye_px,inner_canthus_px,rotation_mag,translation_mag
sub-133,1,44.76841778733011,281.486083984375,118.543212890625,51.15270789895468,0.05501533913477155,4.755693701457021
sub-133,2,41.25217558778199,279.62200927734375,118.94118070779152,51.124005655502515,0.1199774355584912,4.817783540812494
sub-134,1,30.118539938762588,311.4272766113281,124.20358904315582,50.537004768407726,0.20440226807880765,4.973103272351638
sub-134,2,29.468490845560595,312.8334197998043,125.7807323054987,51.5199641958663,0.19808397415864173,4.973322033792669
sub-139,1,31.67235524713028,329.06796264648295,127.8577518484371,52.53055335735457,0.0715404221444749,4.878951846338031
sub-139,2,31.107006920018232,327.9045639038084,129.00070534928693,53.00633114299026,0.07046919811817703,4.878718452873235
sub-143,1,40.02423036977029,273.3318328857418,124.85482702957692,50.280330216162355,0.11230601434338472,4.754595457334829
sub-143,2,37.97600017697327,287.1851806640625,132.1480456656235,53.78608259123938,0.1454433323896015,4.878997108966459
sub-145,1,47.801676738664526,294.651611328125,118.28646409833358,49.245187090253474,0.18909617352701724,4.911649880427749
sub-145,2,45.46188011377162,298.939811706542,117.29435793971783,48.3046090187367,0.15263916703930192,4.974113688281336
sub-147,1,37.99270149488899,320.0197906494133,122.89758019212181,54.66680908203125,0.04498110884307486,4.942741192295703
sub-147,2,36.9508361374571,320.21091461181624,124.22824221473374,54.775482177734375,0.03684410136603623,4.942564597458395
sub-148,1,46.327928444986114,297.9480285644516,113.58685302734375,50.21079444639515,0.07302067798158325,5.0375575547185765
sub-148,2,45.54757717604461,296.20587158203125,112.48004150390625,49.53830172398153,0.06973068267873218,5.0684375925956076
sub-154,1,26.803855961587,345.06048583984375,133.92560234434174,57.85346769326747,0.11999792675869812,5.099794570733412
sub-154,2,25.070745856744807,333.3812255859375,131.53452157945122,57.73586352240016,0.1319446256982105,5.130171436009308
sub-158,1,37.03579102214,295.9075164794914,126.03772952554175,53.53931498620945,0.14517094192115093,4.721956201166934
sub-158,2,29.77331959639808,292.2403106689449,127.26547742641091,53.672266012133775,0.1399820783758624,4.722077522756718
sub-160,1,44.7191287754096,284.3230895996077,119.76908049803899,51.28203131545006,0.054306647786774666,4.691319657796314
sub-160,2,43.64064711398438,299.92413330078125,122.79075993979811,52.58674311339897,0.04681611830669141,4.753459239402405
sub-162,1,28.967611112171603,321.77619934081997,125.6845719362272,53.10121602142789,0.16332227748153175,4.9417366143565085
sub-162,2,31.239577806590777,332.97282409667935,133.51103161702784,55.88643582927789,0.2273857762796125,4.940879224106394
sub-166,1,47.73461078116415,277.79527282714764,112.7713470807573,46.51678103399583,0.075474801561347,4.722180479015545
sub-166,2,47.45534680323756,268.4705505371094,110.17306964769301,45.83159627890129,0.052909066903766115,4.689209777423587
sub-170,1,53.61127387197467,302.6205673217764,117.05862427936279,46.245703683421425,0.13458959153530986,5.005086895317344
sub-170,2,53.95062115799149,298.89158630371014,114.62550516396726,45.63441424281122,0.09548693483264864,5.004366108366711
sub-175,1,31.518730928262244,317.1534118652329,127.91174768895719,53.905320085749175,0.07763230413205371,4.814479872685349
sub-175,2,32.79701429956742,309.52978515625,124.81436398072593,52.59079684845502,0.06626079561336755,4.846073036958276
sub-178,1,54.61299194143193,298.30856323242034,115.61743397547966,48.91143997722766,0.05763397588459936,4.974147657258135
sub-178,2,52.32910323936305,305.42381286621014,119.18648857186766,50.473161341940184,0.06251819164259137,5.005445332921349
sub-031,1,33.16880642875419,286.2762084960937,105.40054738785824,45.09303469274995,0.07925603001402369,4.983905392536016
sub-031,2,30.47552202144168,287.4537414550781,109.69196713806227,45.75586965235512,0.0692443091153934,4.971717669769396
sub-032,1,37.88711116076881,264.7267272949219,108.59292299672421,43.67672083847047,0.0947975053457466,4.737195830841498
sub-032,2,41.95381286156847,257.3328002929687,107.82461125030169,43.26129728581611,0.09958629791475951,4.679167594039111
sub-033,1,37.49369688002433,351.13771362304686,155.54919076249018,65.24026478965422,0.11032868472851788,4.71319790491941
sub-033,2,37.26714240276351,333.7418701171875,143.30242971538738,59.901757140302735,0.11667987657711185,4.794985449708232
sub-034,1,31.49976897994155,293.46198120117185,113.70714593834512,47.30566054867269,0.16083697294613392,5.14270816254092
